('15.08', 159744029578.0333)
('15.09', 56511301521.03311)
('15.10', 53901692120.53661)
('15.11', 53607614201.79755)
('15.12', 55899526672.35286)
('16.01', 56596270931.31675)
('16.02', 69180681134.38783)
('16.03', 32797039087.356033)
('16.04', 23361180502.721268)
('16.05', 23746277028.262596)
('16.06', 23021251389.812317)
('16.07', 22629542449.241035)
('16.08', 22396836435.95905)
('16.09', 25270403393.618855)
('16.10', 32112869584.90848)
('16.11', 24634294365.280075)
('16.12', 50318068074.686714)
('17.01', 22507570807.719795)
('17.02', 23047230327.25406)
('17.03', 23232253600.81755)
('17.04', 22355124545.395313)
('17.05', 23572314972.01525)
('17.06', 30199442465.127773)
('17.07', 25460300456.233006)
('17.08', 25905774673.989174)
('17.09', 30675106219.631775)
('17.10', 17506742628.971752)
('17.11', 15312465314.69354)
('17.12', 33423472930.40845)
('18.01', 52106060636.84312)
('18.02', 23636574203.828876)
('18.03', 15549765961.743263)
('18.04', 13153739247.929977)
('18.05', 17422505108.986416)
('18.06', 16533308366.812864)
('18.07', 27506077453.154037)
('18.08', 18483235826.894726)
('18.09', 15213870989.523375)
('18.10', 14526936383.34996)
('18.11', 16034859008.681644)
('18.12', 16338844844.014565)
('19.01', 14611816445.785276)
('19.02', 28940599438.148685)
('19.03', 18083035519.522335)
('19.04', 11569797163.994154)
('19.05', 14479858767.710985)
('19.06', 15076119023.332262)
